treatment,tank,probe_num,slope_nmol_hr,p.value,r.squared,slope_nmol_hr_blank,p.value_blank,r.squared_blank,slope_nmol_hr_corrected,blank_ratio
15C,tank2,2,-2670.16019533448,0,0.864825488758149,1013.76231191617,0,0.930634825892269,-3683.92250725065,0.379663479999252
15C,tank2,3,-4483.72672791169,0,0.977118389496859,232.50408133969,1.06782784518203e-285,0.902854189729856,-4716.23080925138,0.0518550963180532
15C,tank2,4,-2389.40233580093,0,0.887054292334053,-611.656007712964,0,0.932904110536116,-1777.74632808797,0.255987030123973
15C,tank5,4,-5779.51655811463,0,0.961906664324161,-156.893935292854,0,0.945331970124322,-5624.84357415856,0.0271465500124866
15C,tank5,3,-6838.6656536399,9.59167187260696e-318,0.972125076956497,-70.0137094120451,1.98250064669655e-57,0.3646250347326,-6768.65194422786,0.0102379196407679
15C,tank5,2,-15690.5594389069,2.14266680045314e-116,0.955805153868562,-154.672983956069,1.1769865014215e-316,0.923639789555505,-15533.6655036141,0.00985770995344729
15C,tank8,2,-14897.9078276606,3.98821577569942e-213,0.993172109226994,-267.042168238295,0,0.943773206580776,-14630.8656594223,0.0179248100691349
15C,tank8,3,-2487.13414734951,0,0.962234173862218,-280.12792024425,2.20910393052435e-192,0.792541904213988,-2207.00622710526,0.112630804632222
15C,tank8,4,-6830.20017486161,4.11769309886552e-270,0.964733318562721,1847.05831901194,1.91986411389643e-225,0.842141942468919,-8677.25849387355,0.270425210348884
25C,tank3,2,-6295.2556045895,3.83324326378412e-302,0.980267796482062,278.864054681739,2.08053387699987e-90,0.514556186184323,-6574.11965927124,0.0442974951610282
25C,tank3,4,-5855.08405617528,1.68804439341361e-288,0.969472077417111,824.181824051649,7.32533559813864e-173,0.752529496944621,-5937.6824467995,0.140763448678827
25C,tank3,3,-3057.1304642235,0,0.983488007812211,82.5983906242208,1.72917877397382e-169,0.745610822134273,-3881.31228827515,0.0270182746830206
25C,tank6,2,-10397.4483857917,7.52512411872198e-74,0.875566624512974,239.642231179487,1.18077411960826e-98,0.544265868441924,-10637.0906169712,0.0230481770418753
25C,tank6,3,-9297.88484291153,5.85477025067807e-218,0.983301537439272,-151.791389472685,1.87347503731082e-185,0.774955115928532,-9146.09345343884,0.0163253677623688
25C,tank6,4,-6199.95229129882,3.04359359909579e-142,0.847739390561643,-350.695395107543,0,0.959345164760633,-5849.25689619128,0.0565642086633018
25C,tank9,2,-7994.1590185721,7.10457918989043e-171,0.930875481114533,-117.715612563222,5.19152009839242e-45,0.326970736308381,-7876.44340600888,0.014725202774894
25C,tank9,3,-10876.2060106585,4.73805239802216e-176,0.961025145603317,-174.964930172997,3.96580873206548e-257,0.904030203855278,-10701.2410804855,0.016086945208792
25C,tank9,4,-11499.1206006336,9.75915929062317e-188,0.984905486848721,-331.24111292434,0,0.975365775347642,-11167.8794877093,0.0288057778006162
5C,tank1,2,-2394.0713639556,0,0.974886098128166,-44.9717999758193,3.74415472699663e-170,0.752579060565184,-2349.09956397978,0.0187846530612666
5C,tank1,3,-1583.55064160136,0,0.979109300721934,27.7203063153367,1.2055849459946e-71,0.439415237338316,-1611.2709479167,0.0175051593470384
5C,tank1,4,-2565.27694506756,0,0.953850999063521,-40.5884855576964,1.95508843029036e-161,0.733995371717186,-2524.68845950986,0.0158222626355173
5C,tank4,2,-2172.68902664837,0,0.937735448982757,-113.3194895616,2.78665727088133e-230,0.847302275211667,-2059.36953708677,0.0521563317031195
5C,tank4,3,-1628.92170098401,0,0.961725924375874,-79.0405710413487,6.22714888353863e-165,0.738462622272706,-1549.88112994266,0.0485232476144197
5C,tank4,4,-1488.18680906743,0,0.893853724803944,-138.81350679722,0,0.969414255036879,-1349.37330227021,0.0932769367067611
5C,tank7,2,-1345.20771821842,0,0.92795256512542,-287.042098561616,0,0.957269869794393,-1058.16561965681,0.213381245642696
5C,tank7,3,-1553.08994533042,0,0.936187821836151,-327.799330755542,0,0.989551540973877,-1225.29061457488,0.21106268297024
5C,tank7,4,-1564.44867199181,0,0.994143252384853,-169.096707000194,0,0.94276164150582,-1395.35196499162,0.108087091655685
