term,df,sumsq,meansq,statistic,p.value,genotype,var,p.adj
Groups,1,0.0363972131402306,0.0363972131402306,0.00169984839556223,0.96736933572227,full,temperature,1
Residuals,32,685.185116230409,21.4120348822003,NA,NA,full,temperature,NA
Groups,2,5.91509274032529,2.95754637016265,0.162454216711979,0.850773975617859,full,genotype,1
Residuals,31,564.367852867691,18.2054146086352,NA,NA,full,genotype,NA
Groups,5,66.9175916626319,13.3835183325264,0.767458311614853,0.581073512038909,full,interaction,1
Residuals,28,488.285171506228,17.4387561252224,NA,NA,full,interaction,NA
Groups,1,0.0363972131402306,0.0363972131402306,0.00169984839556223,0.96736933572227,presenceC,temperature,1
Residuals,32,685.185116230409,21.4120348822003,NA,NA,presenceC,temperature,NA
Groups,1,0.00333600000143711,0.00333600000143711,0.000171485174120254,0.989633117490927,presenceC,genotype,1
Residuals,32,622.51445697065,19.4535767803328,NA,NA,presenceC,genotype,NA
Groups,3,15.604721901033,5.20157396701098,0.256141004303413,0.856344124905673,presenceC,interaction,1
Residuals,30,609.223889922298,20.3074629974099,NA,NA,presenceC,interaction,NA
Groups,1,0.0363972131402306,0.0363972131402306,0.00169984839556223,0.96736933572227,presenceT,temperature,1
Residuals,32,685.185116230409,21.4120348822003,NA,NA,presenceT,temperature,NA
Groups,1,2.3857101389613,2.3857101389613,0.128577960625205,0.722265984523904,presenceT,genotype,1
Residuals,32,593.746580483533,18.5545806401104,NA,NA,presenceT,genotype,NA
Groups,3,68.0191153315886,22.6730384438629,1.24102547571828,0.31221722846011,presenceT,interaction,1
Residuals,30,548.08798580239,18.2695995267463,NA,NA,presenceT,interaction,NA
Groups,1,0.0363972131402306,0.0363972131402306,0.00169984839556223,0.96736933572227,het,temperature,1
Residuals,32,685.185116230409,21.4120348822003,NA,NA,het,temperature,NA
Groups,1,8.09261449042388,8.09261449042388,0.426310402752258,0.518468720369922,het,genotype,1
Residuals,32,607.453306374173,18.9829158241929,NA,NA,het,genotype,NA
Groups,3,25.8570867831578,8.61902892771928,0.44379424789363,0.723436859919309,het,interaction,1
Residuals,30,582.63681663029,19.4212272210097,NA,NA,het,interaction,NA
