metabolite,VIP
2-hydroxyglutaric acid,1.78451474474248
ciliatine,1.72582174102897
1-monostearin,1.6900934044138
conduritol-beta-epoxide,1.6622001594893
ononitol,1.59348691433019
lactic acid,1.54725229077987
aminomalonic acid,1.54485487196709
glycine,1.54124921775698
glycerol-alpha-phosphate,1.50822334376251
levoglucosan,1.48546685102081
pinitol,1.47730967626975
6-deoxygalactofuranose ,1.43935664250798
1,5-anhydroglucitol,1.43739528133584
alanine,1.41681448164538
N-acetylmannosamine,1.39622038305857
trehalose-6-phosphate,1.36898685894902
cadaverine,1.36753976016465
homoserine,1.35633609031466
methionine sulfoxide,1.34745765877813
sucrose,1.33897736090681
3-phosphoglycerate,1.3389214813149
gluconic acid lactone,1.32693745427542
glucose,1.30783201768632
phenol ,1.30628922379534
glutamine,1.30144178967172
beta-gentiobiose,1.2918725351484
maleimide,1.29167282559778
dehydroascorbic acid,1.28520871191453
UDP-N-acetylglucosamine,1.28383236031178
citric acid,1.25022910877452
sorbitol,1.24819019895144
maltotriose,1.24458005780874
methionine,1.23864039009114
1-monopalmitin,1.23499517263631
2,3-dihydroxypyridine,1.23409160108095
panose ,1.22150713999552
xanthine,1.18591180974256
lactose ,1.17866833888055
citrulline,1.17511016337151
ethanolamine,1.17163949939463
glutathione,1.16987931050474
n-epsilon-trimethyllysine,1.16290458063805
propylamine,1.15752914077523
uric acid,1.15495452681903
isomaltose,1.15030018075498
melezitose,1.14420358621999
2,5-dihydroxypyrazine ,1.13559429743639
4-hydroxymandelic acid,1.12856260640955
proline,1.12404592095842
oxoproline,1.12222121506508
6-Oxopiperidine-2-carboxylic acid ,1.11906725740834
ornithine,1.11762196542269
homocysteine ,1.11341675887998
dopamine ,1.1002989891989
N-methyl-UMP,1.09902041379003
nicotinamide,1.09722060746138
maltose,1.09205981319268
oxalic acid,1.07793839644047
pyrophosphate,1.07168207827417
bisphosphoglycerol ,1.06219692185967
malic acid,1.06177798820417
inositol-4-monophosphate,1.06142118213256
methionine sulfone ,1.04872742002136
pentitol,1.04366880716453
campesterol ,1.03863003683463
glucosamine,1.0278003162221
phosphogluconic acid,1.0205541825494
uridine,1.00945705959728
serine,1.00911638284875
taurine,1.00815308549301
nicotinic acid,1.00680646410405
cystine,1.00657851630685
beta-glutamic acid,1.0059018350713
zymosterol,1.00313886547184
glycerol,1.00167978017554
2-ketoisocaproic acid,1.0010253005585
glucose-1-phosphate,0.9911186376714
3-Amino-2-piperidone ,0.990281284819953
phosphate,0.989332972626763
inosine,0.987943787432312
fumaric acid,0.985660839369494
2,4-diaminobutyric acid,0.980653921782305
hexadecylglycerol ,0.977805158672804
glutamic acid,0.977484142485707
diphenoxyethane,0.97484503492299
oxamic acid,0.967400554141786
methanolphosphate,0.964342468499094
phenylethylamine,0.962101988032575
butyrolactam ,0.959950176613067
beta-sitosterol,0.954180144540262
alpha-ketoglutarate,0.953389533476205
cytosine,0.939977752592146
capric acid,0.929633616026465
parabanic acid ,0.925824161359399
ketoisoleucine ,0.925353026468726
indole-3-butyric acid ,0.92518298120296
beta-glycerolphosphate,0.910556748511439
agmatine,0.90757102921219
creatinine,0.904321174430131
tocopherol gamma-,0.902712882270035
octadecanol,0.90027176282316
N-alpha-acetyllysine ,0.89791132198566
tocopherol alpha-,0.894678446865532
glutaric acid,0.883289904076062
uracil,0.880212535515006
beta-alanine,0.878082184636959
noradrenaline,0.874360011230451
alanine-alanine,0.87156522784517
ethanol phosphate ,0.862245388575907
ribitol,0.862137083485977
fructose,0.858103877792718
urea,0.856719732681568
glucose-6-phosphate,0.853440736287543
aspartic acid,0.851225389510167
threonine,0.849858606923776
arachidonic acid,0.846345514089137
cholesterol,0.839971271334848
fructose-6-phosphate,0.83199959721298
lauric acid,0.826737836080171
saccharic acid,0.826020471714133
3-aminoisobutyric acid,0.822380049478179
glycerol-3-galactoside,0.820400998242224
(5E)-isovitamin D3,0.811491509421383
glycolic acid,0.808266716664569
pantothenic acid,0.806352198198398
5-hydroxynorvaline ,0.797869018254285
galactose-6-phosphate,0.79638240732395
2-picolinic acid,0.793063340367799
palmitoleic acid,0.790097022609485
cysteine,0.789379721737063
cyanoalanine,0.780055348773906
hypotaurine,0.779537635243247
behenic acid,0.769479776570102
alpha-aminoadipic acid,0.766774456094796
erythronic acid lactone,0.762013206686714
galactinol,0.761544630455631
docosahexaenoic acid,0.761233299776201
gluconic acid,0.760351823675078
phenylalanine,0.760299631035688
glyceric acid,0.75314427036342
heptadecanoic acid,0.74960794391964
adipic acid,0.745359507411665
oleic acid,0.74526330500601
terephthalic acid,0.740185472721977
quinic acid,0.730543593762026
pentadecanoic acid,0.727932889054203
sarcosine,0.723235661882301
cytidine-5-monophosphate,0.721324654460652
maltotriitol,0.721188096875148
nonadecanoic acid,0.694519328074165
trans-4-hydroxyproline,0.687716322183611
erythritol,0.685716290607671
putrescine,0.679810258986926
tyramine,0.672252473759858
adenosine-5-monophosphate,0.671365213844583
threonic acid,0.668412634227435
histidine,0.661393495439482
lignoceric acid,0.655425483223303
methylmaleic acid,0.653596231590785
dehydrocholesterol,0.649578068871891
salicylic acid,0.647154852037876
adenine,0.639846900575548
pipecolinic acid,0.639065872489205
tryptophan ,0.627944836328702
hypoxanthine,0.621060546024291
lysine,0.620348456303689
tyrosine,0.616646158753428
phosphoglycolic acid,0.604835816513377
raffinose,0.577988192857087
5-methoxytryptamine,0.568238901622799
azelaic acid,0.565162945196721
isoleucine,0.555793217490852
valine,0.520143064667731
succinic acid,0.512055528154721
asparagine,0.509719033835931
leucine,0.492522130004691
oleamide ,0.476670642502815
fructose-1-phosphate,0.476625440844878
isoheptadecanoic acid ,0.471301568947377
2-aminobutyric acid,0.471132742369221
serotonin,0.464040641965784
phosphoethanolamine,0.463200351523971
sulfuric acid,0.436699231822354
adenosine,0.434225855918404
ribonic acid,0.349666170515381
